HAt8hmTNVbY	biostudentgirl	819	People & Blogs	160	124923	4.05	633	312
frvIaUVPN6I	TNAwrestling	820	Sports	894	123172	4.5	159	69
0S1nAcs772s	hortononon	819	Howto & DIY	46	119519	1.72	756	617
xGcNpfT2L0s	diethealth	820	Howto & DIY	221	115003	2.74	91	82
h8y1qL_HLQE	Tam1r	820	Music	201	122334	4.68	344	324
H85ZaC7utus	sierraforest	816	Entertainment	27	96953	4.44	39	29
20M8Kf0wqZg	yummyum07	819	Entertainment	304	91578	4.1	224	134
bWJshfx9bTw	blahinsider	819	Entertainment	138	88262	3.93	190	289
HiHdJ426_2k	goaltaker1	820	Entertainment	236	84088	4.46	240	291
NnSk9zv6M6w	BuyCurtisJune26th	819	Music	189	88931	4.06	272	374
Sy4Eugc0Xls	karlspackler	820	News & Politics	363	87170	4.89	1723	1408
DjPfzKbYDXw	lampesuda	818	Autos & Vehicles	48	83313	4.31	77	117
RzkEsSHOxQU	marcmaron101	820	Comedy	280	73232	4.52	607	101
UAJctmZaLgY	tibermedia	818	Entertainment	407	87416	4.6	113	100
CgLYZHN78Kk	ProductZero	820	Sports	17	73897	4.6	239	358
80TAx2mCnNc	oodashi	818	Howto & DIY	481	68664	4.15	26	14
E22gUUTG2VI	MarkDayComedy	821	Comedy	246	6799	4.84	946	148
P0TCzE4HTZQ	HappySlip	822	Comedy	150	8911	4.74	663	416
LBBPoyXEOhM	maxpower1453	821	Sports	54	8927	4.76	504	169
IvpaBrX52pM	MissMalena13	821	People & Blogs	177	1707	4.95	387	21
hoVr6iIKj_c	communitychannel	822	People & Blogs	206	7771	4.78	362	327
lx9WAc29kHA	MasakoX	822	Comedy	251	3496	4.9	383	379
J8oO_OD3PtI	pumaman1	820	News & Politics	472	7942	4.86	326	177
D6SfmXigHpE	suntereo	821	News & Politics	601	19941	4.87	285	284
rmeMGbJvu9E	JamesNintendoNerd	822	Comedy	54	6735	4.81	274	135
KuYiFwTsFiw	DiziTube	821	Entertainment	599	10153	4.91	232	15
TCMpVv87g6E	TheAmazingAtheist	821	People & Blogs	913	2805	3.79	486	168
5ml65ZRBVVc	selectscreen	821	Comedy	77	975	4.89	224	9
E2YTdBsEnro	spricket24	821	People & Blogs	578	3676	4.59	261	228
UoubyKe9Xa0	DiziTube	821	Entertainment	599	9466	4.96	213	54
_h-DUe3o4j4	peron75	820	Entertainment	280	5721	4.8	228	192
RJIxWE2qDsk	DiziTube	821	Entertainment	599	9032	4.96	201	21
mEDsATTpgGk	DiziTube	821	Entertainment	598	8823	4.99	182	20
IuGyQRdPP5c	DiziTube	821	Entertainment	594	10151	4.95	183	16
-eOCt5MZb-I	nickynik	822	People & Blogs	394	397	4.84	186	102
MvID-e_irz4	warren25smash	821	News & Politics	314	1743	4.52	220	166
ZOQU1YP4SsE	DiziTube	821	Entertainment	597	10008	4.92	180	14
T_SDHfswB30	davidchoimusic	821	Music	139	2694	4.77	192	105
OHCcVlRsllc	smpfilms	821	People & Blogs	164	7430	4.29	219	342
boSrjupyOlw	peron75	821	Entertainment	345	1836	4.87	159	85
-ENDKvXMEpo	ChappiRukia	821	Film & Animation	232	1487	4.87	163	96
